Name,Comment_text,Time,Likes,Reply Count
Azka Batool,Too much favorite song,2021-03-22T08:06:01Z,0,0
Azka Batool,Outstanding,2021-03-22T08:02:49Z,0,0
Hamad Ikram,nice,2021-03-22T07:55:06Z,1,0
Nahida Begum,Nice,2021-03-22T07:50:14Z,1,0
Fehmeed Khan,Es mai ghalti kis ki hai larki ka ya larkey ka comment mai bole,2021-03-22T07:50:07Z,0,0
Tauseef Ahamad,Perfect... Ye song Hiba Jiasi larki k liye thik ha.. Ideal girl plus Mature plus beautiful plus decent.. Agar es tarh ki larki chor jaye tu gilaa tu banta ha k.....&quot;Wo mila kyun tha. Aga os se bichrna tha&quot;,2021-03-22T07:11:10Z,0,0
Asra Fathima,Amazing amazing song..heart touching ost ❤️,2021-03-22T06:35:48Z,0,0
Malik arif,🤗🤗🤗🤗,2021-03-22T06:00:53Z,0,0
Cooking With Fariha,Awesome song,2021-03-22T05:43:09Z,0,0
Team legend,So heart touching 😭😭😭😭😭😭😭😭💔💔💔💔💔,2021-03-22T05:14:01Z,0,0
Talha Mehr,Wa g wa,2021-03-22T04:51:24Z,0,0
H Rahman,A really heart touching song...<br />Not only lyrics but also It’s  emotions  are unbelievable... <br />The dresses contents are matched with song🥰🥰🥰🥰🥰🥰,2021-03-22T04:38:04Z,1,0
Aman Ali,I love this song  it&#39;s touching my heart realy love hiba and faisal,2021-03-22T03:56:19Z,2,0
Abdurrahman Khan,Nice songs,2021-03-22T03:49:52Z,1,0
Ansari Ayaz,I love fitoor 👌👌👌,2021-03-22T03:28:50Z,0,0
Zahida Bano,Isse sunn kr ke to koi bhi ro de 😭😭😭,2021-03-22T03:26:09Z,4,0
Shakibul Sworno,Most beautiful songs from Bangladesh,2021-03-22T03:00:04Z,1,0
Sidra Zubair,I love this serial and song,2021-03-22T02:12:37Z,0,0
Ayaan Rana.55,Love ❤️❤️❤️❤️❤️❤️❤️,2021-03-22T02:02:09Z,0,0
Ayaan Rana.55,Beautiful ❤️🥰❤️❤️🥰🥰🥰,2021-03-22T02:02:02Z,0,0
Ijaz Aslam,Love this song. Koi a sa dard gy nikal jay jaa.,2021-03-21T23:33:02Z,0,0
Ijaz Aslam,Soooooo nice i love this.,2021-03-21T23:30:43Z,1,0
Mr۔ BaJwA GaMeR YT,AP ko you tube wale mahine ka kitna dataa haaaan,2021-03-21T23:06:39Z,1,0
